Region,Nature,Type,Description,Price,ModificationDate
El Aouina,Location,App. 1 pièc,S plus 0  el aouina  tel,900,2024-06-03 00:00:00
El Aouina,Vente,App. 2 pièc,Apprt splus 2 au rdc,210000,2024-06-03 00:00:00
Jardins d'el Me,Vente,App. 3 pièc,S2 jardin menzah 1,280000,2024-06-03 00:00:00
Sidi Daoud,Location,App. 4 pièc,Appartement s3 vide aux sidi,1200,2024-06-03 00:00:00
Cite El Hana,Location,App. 3 pièc,Belle appartement s2 aux la m,1300,2024-06-03 00:00:00
Bou Mhel,Location,App. 2 pièc,Appat s1 hts meublé,131,2024-06-03 00:00:00
Bou Mhel,Location,App. 2 pièc,Studio s1 meublé à b,131,2024-06-03 00:00:00
Borj Cedria,Location,App. 3 pièc,Appartement s plus 2 hau,630,2024-06-03 00:00:00
El Aouina,Location,App. 3 pièc,S plus 2  jardins de lao,1100,2024-06-03 00:00:00
Bou Mhel,Location,App. 4 pièc,Appart s3 a bassatin,950,2024-06-03 00:00:00
Cite Du Stade,Location,App. 3 pièc,Etage s3 a la marsa ref,2200,2024-06-03 00:00:00
El Mourouj,Location,App. 2 pièc,App en bonne état kamel,380,2024-06-03 00:00:00
El Aouina,Location,App. 2 pièc,S1 neuf rue du park,1150,2024-06-03 00:00:00
Ezzahra El Habi,Vente,App. 2 pièc,Appartement s2 ezzahra,130000,2024-06-03 00:00:00
Cite El Ghazala,Location,App. 1 pièc,App s1 850 el ghazela,850,2024-06-03 00:00:00
La Soukra,Location,App. 3 pièc,S2 neuf la soukra,1400,2024-06-03 00:00:00
La Soukra,Location,App. 1 pièc,Apprt  splus 1  meub,1000,2024-06-03 00:00:00
Cite Ennasr 2,Vente,App. 4 pièc,Appartement s3 avec terr,690000,2024-06-03 00:00:00
Cite De La Plag,Vente,App. 3 pièc,Appartement côté mer,340000,2024-06-03 00:00:00
El Aouina,Vente,App. 2 pièc,S plus 1  el wahat tel 5,185000,2024-06-03 00:00:00
Marsa Safsaf,Location,App. 3 pièc,Appart s3 avec terrasse,3500,2024-06-03 00:00:00
Berge Du Lac,Vente,App. 2 pièc,Un coquet appartement s1,230000,2024-06-03 00:00:00
Cite El Khadra,Location,App. 4 pièc,S3 au cité khadra,1350,2024-06-03 00:00:00
Bab Bhar,Location,App. 2 pièc,Excellent  près av carth,730,2024-06-03 00:00:00
Rades,Location,App. 2 pièc,S2 jamais habite a rades,850,2024-06-03 00:00:00
Jaafar 1,Location,App. 3 pièc,Appartment neuf de 3 piè,1200,2024-06-03 00:00:00
El Aouina,Vente,App. 1 pièc,Appartement s1 à wah,180000,2024-06-03 00:00:00
El Aouina,Vente,App. 2 pièc,S plus 1 el wahat tel 51,170000,2024-06-03 00:00:00
Tunis Belvedere,Location,App. 4 pièc,Un s3 au belvédère,1500,2024-06-03 00:00:00
